title	author	abs_finished	abs_started	issues	match	hardcover_title	status	media	hardcover_finished	book_id	edition_id	asin	isbn	candidates	review_decision	review_note	export_record_numbers
Once Broken Faith	Seanan McGuire	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Once Broken Faith	Read	Book		458731	30395321	B01KU8QI34			original exact match retained		
The Brightest Fell	Seanan McGuire	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	The Brightest Fell	Read	Book		458745	30395283	B0759M7QK6			original exact match retained		
Night and Silence	Seanan McGuire	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Night and Silence	Read	Ebook		215626	32315185	B07H9BK8BS			original exact match retained		
A Killing Frost	Seanan McGuire	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	A Killing Frost	Read	Book		459505	30397831	B08HZJBBGH			original exact match retained		
When Sorrows Come	Seanan McGuire	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	When Sorrows Come	Read	Book		458748	30397731	B09G3L8WP1			original exact match retained		
Be the Serpent	Seanan McGuire	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Be the Serpent	Read	Book		651439	30632046	B0BDSXQS5W			original exact match retained		
Sleep No More	Seanan McGuire	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Sleep No More	Read	Book		460226	31141826	B0C7XFD1YZ			original exact match retained		
The Innocent Sleep	Seanan McGuire	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	The Innocent Sleep	Read	Book		1097245	31121269	B0CLGS2TC6			original exact match retained		
Some Desperate Glory	Emily Tesh	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Some Desperate Glory	Read	Book		465106	31501092	B09YHYSMCT			original exact match retained		
Starter Villain	John Scalzi	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Starter Villain	Read	Book		773299	30775702	B0C6FPMDGV			original exact match retained		
A Stitch in Time	Andrew J. Robinson	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	A Stitch in Time	Read	Book		467318	30385001	B0C8VHYFJ5			original exact match retained		
The Three-Body Problem	Cixin Liu, Ken Liu	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	The Three-Body Problem	Read	Book		208339	4682596	B0BVW67D5L			original exact match retained		
The Dark Forest	Cixin Liu, Joel Martinsen - translator	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	The Dark Forest	Read	Book	2023-12-01	427838	30492103	B010PKSKBA			original exact match retained		
Death's End	Cixin Liu, Ken Liu - translator	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Death's End	Read	Book		427523	6929659	B01LW7OXWP			original exact match retained		
Ever After	Kim Harrison	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Ever After	Read	Book		477400	30453583	B009R9KG5E			original exact match retained		
The Undead Pool	Kim Harrison	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	The Undead Pool	Read	Book		476182	30453582	B00HUBJFPI			original exact match retained		
American Demon	Kim Harrison	2025-05-22	2025-05-22	not marked read; no read audiobook in export; finish date missing/different	title/author	American Demon	Want to Read	Book		459465	30397980	0593214137			original exact match retained		
Million Dollar Demon	Kim Harrison	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Million Dollar Demon	Read	Book		461895	30397806	0593409744			original exact match retained		
Trouble with the Cursed	Kim Harrison	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Trouble with the Cursed	Read	Book		503501	30453575	B09GX6GXP1			original exact match retained		
Demons of Good and Evil	Kim Harrison	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Demons of Good and Evil	Read	Book		655482	30637115	B0BG96TCVH			original exact match retained		
Perfect Shadow	Brent Weeks	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Perfect Shadow	Read	Ebook		1950990	30412281	B0053ZUL9C			original exact match retained		
The Way of Shadows	Brent Weeks	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	The Way of Shadows	Read	Book		196346	30400849	B09GWC6SB7			original exact match retained		
Shadow's Edge	Brent Weeks	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Shadow's Edge	Read	Book		249941	30598308	B0BLXMQ833	9781668630013		original exact match retained		
Beyond the Shadows	Brent Weeks	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Beyond the Shadows	Read	Book		59766	30819856	B0BLY76VZS	9781668630037		original exact match retained		
The Brightest Shadow	Sarah Lin	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	The Brightest Shadow	Read	Book		446708	30407819	177424568X			original exact match retained		
The Mayor of Noobtown	Ryan Rimmel	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	identifier	The Mayor of Noobtown	Read	Ebook		646489	30625708	1774240122			original exact match retained		
The Village of Noobtown	Ryan Rimmel	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	manual book-level pairing	Village of Noobtown	Read	Ebook		646490	30625709	1774240963			paired manually	Leading The variation; same author and Noobtown volume 2.	447
Castle of the Noobs	Ryan Rimmel	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	identifier	Castle of the Noobs	Read	Ebook		646488	30625707	177424389X			original exact match retained		
Dungeons and Noobs	Ryan Rimmel	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	identifier	Dungeons and Noobs	Read	Ebook		646487	30625706	1774246678			original exact match retained		
Noob Game Plus	Ryan Rimmel	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	identifier	Noob Game Plus	Read	Ebook		646486	30625705	1039400019			original exact match retained		
Nautical Noobs	Ryan Rimmel	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Nautical Noobs	Read	Ebook		646485	30625704	B09RRWFR4S			original exact match retained		
Tower of the Noobs	Ryan Rimmel	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Tower of the Noobs	Read	Ebook		646484	30625703	B0BRBRB95D			original exact match retained		
The Witch and the Vampire	Francesca Flores	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	The Witch and the Vampire	Read	Book		490723	30438047	B0BQPPFTMF			original exact match retained		
Hive Minds Give Good Hugs	"Natalie ""Thundamoo"" Maher"	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	manual book-level pairing	Hive Minds Give Good Hugs	Read	Ebook		917423	30941375	B0BBWT87ZT			paired manually	Natalie Maher / Thundamoo author alias; same title.	1177
Pattern Recognition	William Gibson	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Pattern Recognition	Read	Book		265984	30399419	B076MJR5K5			original exact match retained		
The Left-Handed Booksellers of London	Garth Nix	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	The Left-Handed Booksellers of London	Read	Book		450849	20775551	0655691308			original exact match retained		
The Amazing Adventures of Kavalier & Clay	Michael Chabon	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	The Amazing Adventures of Kavalier & Clay	Read	Book		467910	31547229	B00890C97U			original exact match retained		
Skyclad	Scott Browder	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Skyclad	Read	Book		637737	30615606	1774244209			original exact match retained		
Skybound	Scott Browder	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	manual book-level pairing	Skybound	Read	Book		1612399	31687463	B0BBKGQKZF			provisional pairing accepted	Inspected title, author where supplied, and series context; descriptive suffix or sparse export metadata.	1281
A Damsel and a Demigod	Annette Marie	2025-05-22	2025-05-22	not marked read; no read audiobook in export; finish date missing/different	title/author	A Damsel and a Demigod	Want to Read	Ebook		460330	30411687	1705250521			original exact match retained		
Thistlefoot	GennaRose Nethercott	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Thistlefoot	Read	Book		513055	31492087	B09S248CNP			original exact match retained		
The Lost Metal	Brandon Sanderson	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	The Lost Metal	Read	Book		427863	30387670	B09N446YK7			original exact match retained		
Skinwalker	Faith Hunter	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Skinwalker	Read	Book		263142	6919719	B003EI2V2A			original exact match retained		
Blood Cross: Jane Yellowrock, Book 2	Faith Hunter	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	manual book-level pairing	Blood Cross	Read	Ebook		59858	30520108	B003FQBS3Y			paired manually	Series suffix only; Faith Hunter and volume 2 agree.	66
Raven Cursed: Jane Yellowrock, Book 4	Faith Hunter	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	manual book-level pairing	Raven Cursed	Read	Ebook		476427	30397813	B006OCV7L4			paired manually	Series suffix only; Faith Hunter and volume 4 agree.	281
Death's Rival	Faith Hunter	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Death's Rival	Read	Book		461184	30397793	B009IWTEDA			original exact match retained		
Blood Trade: Jane Yellowrock, Book 6	Faith Hunter	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	manual book-level pairing	Blood Trade	Read	Book		458595	30397786	B00BMXYGMW			paired manually	Series suffix only; Faith Hunter and volume 6 agree.	68
Black Arts	Faith Hunter	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Black Arts	Read	Book		458598	30397548	B00GS3UDJQ			original exact match retained		
Dark Heir	Faith Hunter	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Dark Heir	Read	Book		458601	30397482	B00STWV7HG			original exact match retained		
Shadow Rites	Faith Hunter	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Shadow Rites	Read	Book		461186	30397698	B01C4Q08VI			original exact match retained		
Dark Queen	Faith Hunter	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Dark Queen	Read	Book		461185	30397630	B07BBWDLSV			original exact match retained		
Shattered Bonds	Faith Hunter	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Shattered Bonds	Read	Book		458515	30397611	B07YQ7WQ7P			original exact match retained		
True Dead	Faith Hunter	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	True Dead	Read	Book		461131	30397744	B09FMVRLMV			original exact match retained		
Final Heir	Faith Hunter	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Final Heir	Read	Book		523743	30477382	B0BGJQT3SN			original exact match retained		
When the Angels Left the Old Country	Sacha Lamb	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	manual book-level pairing	When the Angels Left the Old Country	Read	Book		649200	31687339	B0B8Q94TMJ			provisional pairing accepted	Inspected title, author where supplied, and series context; descriptive suffix or sparse export metadata.	1126
The Rook	Daniel O'Malley	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	The Rook	Read	Book		431967	30646133	B007FTJKRI			original exact match retained		
Stiletto	Daniel O'Malley	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Stiletto	Read	Book		439892	30405417	B01DDZBJM6			original exact match retained		
Blitz	Daniel O'Malley	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Blitz	Read	Book		440157	30404888	B0B2HX7DN6			original exact match retained		
The Yiddish Policemen's Union	Michael Chabon	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	The Yiddish Policemen's Union	Read	Book		377099	16913880	B01F9PHNB4			original exact match retained		
Hounded	Kevin Hearne	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Hounded	Read	Book		428349	27980853	B004V4OD04			original exact match retained		
Hexed	Kevin Hearne	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Hexed	Read	Book		429262	30492474	B0052FRKMO			original exact match retained		
Hammered	Kevin Hearne	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Hammered	Read	Book		135686	31687350	B0057HS0NK			original exact match retained		
Tricked	Kevin Hearne	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Tricked	Read	Book		429264	31687390	B007V55FJ8	9780449013052		original exact match retained		
Trapped	Kevin Hearne	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Trapped	Read	Book		429265	31475388	B009PRHPMU	9780449013076		original exact match retained		
Shattered	Kevin Hearne	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Shattered	Read	Book		270843	31687375	B00JV2RPQ0	9780804147903		original exact match retained		
Staked	Kevin Hearne	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Staked	Read	Book		150498	31343336	B017WQALGM	9780804147927		original exact match retained		
Scourged	Kevin Hearne	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Scourged	Read	Book		459290	31687289	B075H2KL3X	9780804147941		original exact match retained		
Two Tales of the Iron Druid Chronicles	Kevin Hearne	2025-05-22	2025-05-22	no read audiobook in export; edition scope needs review; finish date missing/different	manual book-level pairing	Kaibab Unbound | A Test of Mettle	Read	Book | Ebook	 | 	1192413,429339	31217215,30400064	B00XUMA190			paired manually	Audible B00XUMA190 description names Kaibab Unbound and A Test of Mettle; both are Read in export. Combined edition not established. Source: https://www.audible.com/pd/B00XUMA190	202,42
Carniepunk: The Demon Barker of Wheat Street	Kevin Hearne	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	manual book-level pairing	Carniepunk	Read	Book		468512	31687426	B00NBAXV6G	9781442383678		provisional pairing accepted	Carniepunk is a 38-page Kevin Hearne record in Iron Druid, consistent with the standalone Demon Barker story, not the full anthology.	1280
Grimoire of the Lamb	Kevin Hearne	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	manual book-level pairing	The Grimoire of the Lamb	Read	Book		1612285	31687301	B00CLR5884	9780804128827		paired manually	Leading The variation; same author.	1105
Three Slices	Kevin Hearne, Delilah S. Dawson, Chuck Wendig	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	manual book-level pairing	Three Slices	Read	Book		1105681	31129705	B00VTQ8TO8			paired manually	Export credits coauthor Delilah S. Dawson; ABS also credits Hearne and Wendig.	3203
Lirael	Garth Nix	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Lirael	Read	Book		52026	27437335	B002V02R62			original exact match retained		
Sabriel	Garth Nix	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Sabriel	Read	Book		118111	30880083	B002UUP42M			original exact match retained		
Randomize	Andy Weir	2025-05-22	2025-05-22	not marked read; no read audiobook in export; finish date missing/different	title/author	Randomize	Want to Read	Ebook		427926	30390694	1978650817			original exact match retained		
Escape From Yokai Land	Charles Stross	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Escape from Yokai Land	Read	Book		563807	31103983	1705035183			original exact match retained		
The Martian	Andy Weir	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	The Martian	Read	Book		292354	12841480	B082BHJMFF			original exact match retained		
The Calculating Stars	Mary Robinette Kowal	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	The Calculating Stars	Read	Book		186438	28439044	B07DVCTB9R			original exact match retained		
The Fated Sky	Mary Robinette Kowal	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	The Fated Sky	Read	Book		459558	31505262	B07G8FH9H7			original exact match retained		
The Relentless Moon	Mary Robinette Kowal	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	The Relentless Moon	Read	Book		273891	30337469	B08B7G68YV			original exact match retained		
Middlegame	Seanan McGuire	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Middlegame	Read	Book		428651	22783788	1250223350			original exact match retained		
Heir of Fire	Sarah J. Maas	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Heir of Fire	Read	Book		1363844	30432118	B09CHB2YXJ			original exact match retained		
Tower of Dawn	Sarah J. Maas	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Tower of Dawn	Read	Book		429015	30852060	B0759X8K2X			original exact match retained		
Kingdom of Ash	Sarah J. Maas	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Kingdom of Ash	Read	Book		429018	7875136	B07J682QY2			original exact match retained		
Empire of Storms	Sarah J. Maas	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Empire of Storms	Read	Book		183545	30825891	B01KIQVHL6			original exact match retained		
Throne of Glass	Sarah J. Maas	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Throne of Glass	Read	Book		39629	30809266	1547607548			original exact match retained		
Queen of Shadows	Sarah J. Maas	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Queen of Shadows	Read	Book		153090	30606003	B012BTUEVC			original exact match retained		
Midnight Riot	Ben Aaronovitch	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	manual book-level pairing	Rivers of London	Read	Book		440003	11302913	B009CZNUGU	9781452680071		paired manually	US title for Rivers of London; Ben Aaronovitch, first Rivers of London novel.	677
Moon Over Soho	Ben Aaronovitch	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Moon Over Soho	Read	Book		5921	11058082	B009CZN2AE	9781452680088		original exact match retained		
Whispers Under Ground	Ben Aaronovitch	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Whispers Under Ground	Read	Book		432534	2076729	B009D126RC	9781452680095		original exact match retained		
Broken Homes	Ben Aaronovitch	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Broken Homes	Read	Book		160470	8347118	B00IA53J6Y			original exact match retained		
Foxglove Summer	Ben Aaronovitch	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Foxglove Summer	Read	Book		432535	2908469	B00QXW6NY6			original exact match retained		
The Hanging Tree	Ben Aaronovitch	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	The Hanging Tree	Read	Book		432529	31515597	B01MY0246S			original exact match retained		
Lies Sleeping	Ben Aaronovitch	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Lies Sleeping	Read	Book		432531	30428661	1984890751			original exact match retained		
False Value	Ben Aaronovitch	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	False Value	Read	Book		432525	27751819	059316735X			original exact match retained		
Amongst Our Weapons	Ben Aaronovitch	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Amongst Our Weapons	Read	Book		476216	30826253	B09P8WS16M			original exact match retained		
Guards! Guards!	Terry Pratchett	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Guards! Guards!	Read	Book		446212	12591508	B0032NANJA			original exact match retained		
Guards! Guards!	Terry Pratchett, Ben Aaronovitch - afterword	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Guards! Guards!	Read	Book		446212	12591508	B09M8WGGBN			original exact match retained		
Men at Arms	Terry Pratchett	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Men at Arms	Read	Book		446110	14070015	B09MDKMN8R			original exact match retained		
California Demon	Debra Dunbar	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	manual book-level pairing	California Demon: An Imp World Urban Fantasy	Read	Book		1612290	31687307	B08XZVZ9DG			provisional pairing accepted	Inspected title, author where supplied, and series context; descriptive suffix or sparse export metadata.	1093
A Demon Bound	Debra Dunbar	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	A Demon Bound	Read	Book		612355	30584756	B00I5ODTKQ			original exact match retained		
Imp Series, Books 1-3	Debra Dunbar	2025-05-22	2025-05-22	no read audiobook in export; edition scope needs review; finish date missing/different	manual book-level pairing	A Demon Bound | Satan's Sword | Elven Blood	Read	Book	 |  | 	612355,612354,612353	30584756,30584755,30584754	B07TK4T9SR			paired manually	All three constituents are Read: A Demon Bound, Satan's Sword, Elven Blood. Omnibus edition not established.	1150,1182,134
Satan's Sword	Debra Dunbar	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Satan's Sword	Read	Book		612354	30584755	B00KM6YX1Y			original exact match retained		
Elven Blood	Debra Dunbar	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Elven Blood	Read	Book		612353	30584754	B00NGTOCJW			original exact match retained		
Devil's Paw	Debra Dunbar	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Devil's Paw	Read	Book		612352	30584753	B00QSFDU2G			original exact match retained		
Imp Forsaken	Debra Dunbar	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Imp Forsaken	Read	Book		612351	30584752	B00TGE77G6			original exact match retained		
Angel of Chaos	Debra Dunbar	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Angel of Chaos	Read	Book		612349	30584750	B00XWV3YLG			original exact match retained		
Kingdom of Lies	Debra Dunbar	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Kingdom of Lies	Read	Book		612350	30584751	B01AGZWHHW			original exact match retained		
Down the Chimney	Debra Dunbar	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	manual book-level pairing	Down The Chimney	Read	Book		1612272	31687280	B07LC24P8Z			provisional pairing accepted	Inspected title, author where supplied, and series context; descriptive suffix or sparse export metadata.	1064
With This Ring	Debra Dunbar	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	manual book-level pairing	With This Ring	Read	Book		1612332	31687362	B08BQFS2L9			provisional pairing accepted	Inspected title, author where supplied, and series context; descriptive suffix or sparse export metadata.	1154
Demons of Desire	Debra Dunbar	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Demons of Desire	Read	Book		612358	30584759	B014VBWCYK			original exact match retained		
Sins of the Flesh	Debra Dunbar	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Sins of the Flesh	Read	Book		612357	30584758	B018Y0T0US			original exact match retained		
Cornucopia	Debra Dunbar	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	manual book-level pairing	Cornucopia	Read	Book		1612330	31687358	B07892NM1Y			provisional pairing accepted	Inspected title, author where supplied, and series context; descriptive suffix or sparse export metadata.	1148
Initializing	K. T. Hanna	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	manual book-level pairing	Initializing	Read	Book		1509604	31563135	B07G1M4H42			provisional pairing accepted	Inspected title, author where supplied, and series context; descriptive suffix or sparse export metadata.	192
Edgedancer	Brandon Sanderson	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Edgedancer	Read	Book		427544	17695374	B0B5M28HZK			original exact match retained		
The Way of Kings	Brandon Sanderson	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	The Way of Kings	Read	Book		386446	3134360	B003ZWFO7E			original exact match retained		
Words of Radiance	Brandon Sanderson	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Words of Radiance	Read	Book		374131	419923	B00HWF0MHW			original exact match retained		
Singularity Sky	Charles Stross	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Singularity Sky	Read	Book		446310	2198728	B002V5BFEM			original exact match retained		
Iron Sunrise	Charles Stross	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Iron Sunrise	Read	Book		446311	21717047	B002V1AGCS			original exact match retained		
Sparrow Hill Road	Seanan McGuire	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Sparrow Hill Road	Read	Book		437788	26447410	B00JVUA80W			original exact match retained		
The Girl in the Green Silk Gown	Seanan McGuire	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	The Girl in the Green Silk Gown	Read	Book		439322	26683663	1541485165			original exact match retained		
Angel of the Overpass	Seanan McGuire	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Angel of the Overpass	Read	Ebook		458750	30584414	1515942341			original exact match retained		
Three Mages and a Margarita	Annette Marie	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Three Mages and a Margarita	Read	Book		459804	30601738	1977330436	9781977330437		original exact match retained		
Two Witches and a Whiskey	Annette Marie	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Two Witches and a Whiskey	Read	Book		460329	31687396	1977330452			original exact match retained		
The Alchemist and an Amaretto	Annette Marie	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	The Alchemist and an Amaretto	Read	Ebook		461291	30585246	1515934047			original exact match retained		
Druid Vices and a Vodka	Annette Marie	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Druid Vices and a Vodka	Read	Book		461290	30562839	1515934055			original exact match retained		
Lost Talismans and a Tequila	Annette Marie	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Lost Talismans and a Tequila	Read	Ebook		461289	30585240	1515934063			original exact match retained		
Damned Souls and a Sangria	Annette Marie	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Damned Souls and a Sangria	Read	Book		460327	30451865	1515934071			original exact match retained		
Viridian Gate Online: Firebrand: A litRPG Adventure	James Hunter, J. D. Astra	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	manual book-level pairing	Firebrand	Read	Book		1612329	31687357	B07RP3JQ46			paired manually	Firebrand record with blank author; consistent with same import batch and adjacent Firebrand volumes. Book-level pairing; sparse catalog metadata.	1147
Viridian Gate Online: Embers of Rebellion	J.D. Astra	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	manual book-level pairing	Embers of Rebellion	Read	Book		769833	31687379	B07YF4X8VT			paired manually	Same individual title and author; series prefix omitted.	1208
Dominion of Blades	Matt Dinniman	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Dominion of Blades	Read	Book		680445	30667875	B072XTFXLG			original exact match retained		
The Hobgoblin Riot	Matt Dinniman	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	manual book-level pairing	The Hobgoblin Riot: Dominion of Blades Book 2: A LitRPG Adventure	Read	Book		770123	30829590	B07FCRJFDP			paired manually	Dominion of Blades Book 2 / A LitRPG Adventure subtitle; author agrees.	1027
Forever Fantasy Online	Rachel Aaron, Travis Bach	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Forever Fantasy Online	Read	Book		507292	31088650	B07D3ZGLF9			original exact match retained		
Last Bastion	Rachel Aaron, Travis Bach	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Last Bastion	Read	Book		587479	31141816	B07QR169F7			original exact match retained		
The Once King	Rachel Aaron, Travis Bach	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	The Once King	Read	Book		587478	31141803	B08171XVRT			original exact match retained		
Master of the Revels	Nicole Galland	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Master of the Revels	Read	Book		469865	30524580	0063016176			original exact match retained		
What Abigail Did That Summer	Ben Aaronovitch	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	What Abigail Did That Summer	Read	Book		468077	31630312	1541489845	9781541489844		original exact match retained		
The October Man	Ben Aaronovitch	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	The October Man	Read	Book		432498	30428653	1541489837	9781541489837		original exact match retained		
Penric's Fox	Lois McMaster Bujold	2025-05-22	2025-05-22	no read audiobook in export; finish date missing/different	title/author	Penric's Fox	Read	Book		461431	30484209	B078N68JWW			original exact match retained		
